3cpio	0.14.0-1ubuntu1
grub-pc-bin	2.14-2ubuntu2
gzip	1.14-1~exp2ubuntu1.1
hdparm	9.65+ds-1.1build1
hostname	3.25build1
htop	3.4.1-5build2
hwctl	0.11.0-0ubuntu1
hwdata	0.394-1build1
hwloc	2.13.0-2
ibverbs-providers:amd64	61.0-2ubuntu3
idle	3.14.3-0ubuntu2
idle-python3.14	3.14.4-1ubuntu0.1
ieee-data	20240722build1
inetutils-telnet	2:2.7-2ubuntu1.1
info	7.2-5ubuntu2
init	1.69
initramfs-tools-bin	0.151ubuntu1
initramfs-tools-core	0.151ubuntu1
init-system-helpers	1.69
install-info	7.2-5ubuntu2
intel-microcode	3.20260210.1ubuntu2
iotop	0.6-42-ga14256a-0.3build4
iproute2	6.19.0-1ubuntu1.1
iptables	1.8.11-2ubuntu3
iputils-ping	3:20250605-1ubuntu1
iputils-tracepath	3:20250605-1ubuntu1
iso-codes	4.20.1-1
isympy3	1.14.0-2
isympy-common	1.14.0-2
iucode-tool	2.3.1-3build2
javascript-common	12+nmu1build1
jq	1.8.1-4ubuntu2
kbd	2.7.1-2ubuntu2
kdump-tools	1:1.10.7ubuntu3
kexec-tools	1:2.0.32-3ubuntu1
keyboard-configuration	1.237ubuntu3
klibc-utils	2.0.14-1ubuntu2
kmod	34.2-2ubuntu2
kpartx	0.14.3-2ubuntu1
krb5-locales	1.22.1-2ubuntu4.1
landscape-common	26.02.2-0ubuntu1
less	668-1build1
libacl1:amd64	2.3.2-2
libaio1t64:amd64	0.3.113-8build1
libalgorithm-diff-perl	1.201-1
libalgorithm-diff-xs-perl	0.04-9
libalgorithm-merge-perl	0.08-5
libapparmor1:amd64	5.0.2-0ubuntu1~26.04.1
libappstream5:amd64	1.1.2-1
libapt-pkg7.0:amd64	3.2.0
libarchive13t64:amd64	3.8.5-1ubuntu2.2
libasan8:amd64	16-20260322-1ubuntu1
libassuan9:amd64	3.0.2-2build1
libatasmart4:amd64	0.19-6
libatomic1:amd64	16-20260322-1ubuntu1
libattr1:amd64	1:2.5.2-4
libaudit1:amd64	1:4.1.2-1build1
libaudit-common	1:4.1.2-1build1
libbinutils:amd64	2.46-3ubuntu2
libblas3:amd64	3.12.1-7ubuntu1
libblkid1:amd64	2.41.3-3ubuntu2
libblockdev3:amd64	3.4.0-1
libblockdev-crypto3:amd64	3.4.0-1
libblockdev-fs3:amd64	3.4.0-1
libblockdev-loop3:amd64	3.4.0-1
libblockdev-mdraid3:amd64	3.4.0-1
libblockdev-nvme3:amd64	3.4.0-1
libblockdev-part3:amd64	3.4.0-1
libblockdev-smart3:amd64	3.4.0-1
libblockdev-swap3:amd64	3.4.0-1
libblockdev-utils3:amd64	3.4.0-1
libblosc1:amd64	1.21.5+ds-2
libblosc2-7:amd64	2.23.0+ds-1
libboost-iostreams1.90.0:amd64	1.90.0-6ubuntu1
libboost-thread1.90.0:amd64	1.90.0-6ubuntu1
libbpf1:amd64	1:1.6.3-1ubuntu1
libbpfcc:amd64	0.35.0+ds-1ubuntu2
libbrotli1:amd64	1.2.0-3build1
libbsd0:amd64	0.12.2-2build2
libbytesize1:amd64	2.12-1
libbytesize-common	2.12-1
libbz2-1.0:amd64	1.0.8-6build2
libc6:amd64	2.43-2ubuntu2.3
libc6-dev:amd64	2.43-2ubuntu2.3
libcairo2:amd64	1.18.4-3
libcap2:amd64	1:2.75-10ubuntu2
libcap2-bin	1:2.75-10ubuntu2
libcap-ng0:amd64	0.8.5-4build5
libc-bin	2.43-2ubuntu2.3
libcbor0.10:amd64	0.10.2-2ubuntu3
libcc1-0:amd64	16-20260322-1ubuntu1
libc-dev-bin	2.43-2ubuntu2.3
libc-gconv-modules-extra:amd64	2.43-2ubuntu2.3
libclang1-21	1:21.1.8-6ubuntu1
libclang-cpp21	1:21.1.8-6ubuntu1
libcom-err2:amd64	1.47.2-3ubuntu4
libcrypt1:amd64	1:4.5.1-1
libcrypt-dev:amd64	1:4.5.1-1
libcryptsetup12:amd64	2:2.8.4-1ubuntu4
libctf0:amd64	2.46-3ubuntu2
libctf-nobfd0:amd64	2.46-3ubuntu2
libcurl3t64-gnutls:amd64	8.18.0-1ubuntu2.4
libcurl4t64:amd64	8.18.0-1ubuntu2.4
libdaxctl1:amd64	81-1ubuntu1
libdb5.3t64:amd64	5.3.28+dfsg2-10ubuntu1
libdbus-1-3:amd64	1.16.2-2ubuntu4
libdebconfclient0:amd64	0.280ubuntu1
libdebuginfod1t64:amd64	0.194-4
libdebuginfod-common	0.194-4
libdeflate0:amd64	1.23-2ubuntu1
libdevmapper1.02.1:amd64	2:1.02.205-2ubuntu3
libdevmapper-event1.02.1:amd64	2:1.02.205-2ubuntu3
libdpkg-perl	1.23.7ubuntu1
libdrm2:amd64	2.4.131-1
libdrm-amdgpu1:amd64	2.4.131-1
libdrm-common	2.4.131-1
libduktape207:amd64	2.7.0+tests-0ubuntu4
libdw1t64:amd64	0.194-4
libeatmydata1:amd64	131-2build1
libedit2:amd64	3.1-20251016-1
libefiboot1t64:amd64	39-2
libefivar1t64:amd64	39-2
libelf1t64:amd64	0.194-4
liberror-perl	0.17030-1
libestr0:amd64	0.1.11-2build1
libevdev2:amd64	1.13.6+dfsg-1
libevent-core-2.1-7t64:amd64	2.1.12-stable-10build2
libexpat1:amd64	2.7.4-1
libexpat1-dev:amd64	2.7.4-1
libext2fs2t64:amd64	1.47.2-3ubuntu4
libfakeroot:amd64	1.37.2-1
libfastjson4:amd64	1.2304.0-2build1
libfdisk1:amd64	2.41.3-3ubuntu2
libffi8:amd64	3.5.2-4
libfido2-1:amd64	1.16.0-2build1
libfile-fcntllock-perl	0.22-4ubuntu6
libflashrom1:amd64	1.6.0-2ubuntu1
libfontconfig1:amd64	2.17.1-3ubuntu1
libfreetype6:amd64	2.14.2+dfsg-1ubuntu0.1
libfribidi0:amd64	1.0.16-5
libftdi1-2:amd64	1.6~rc1-1build1
libfuse3-4:amd64	3.18.2-1
libfwupd3:amd64	2.1.1-1ubuntu3.1
libfyaml0:amd64	0.9.4-1
libgcc-15-dev:amd64	15.2.0-16ubuntu1
libgcc-s1:amd64	16-20260322-1ubuntu1
libgcrypt20:amd64	1.12.0-2ubuntu1
libgdbm6t64:amd64	1.26-1build1
libgdbm-compat4t64:amd64	1.26-1build1
libgfapi0:amd64	11.2-2
libgfortran5:amd64	16-20260322-1ubuntu1
libgfrpc0:amd64	11.2-2
libgfxdr0:amd64	11.2-2
libgirepository-2.0-0:amd64	2.88.0-1
libgit2-1.9:amd64	1.9.1+ds-1ubuntu1.1
libglib2.0-0t64:amd64	2.88.0-1
libglib2.0-bin	2.88.0-1
libglib2.0-data	2.88.0-1
libglusterfs0:amd64	11.2-2
libgmp10:amd64	2:6.3.0+dfsg-5ubuntu2
libgnutls30t64:amd64	3.8.12-2ubuntu1.1
libgomp1:amd64	16-20260322-1ubuntu1
libgpg-error0:amd64	1.58-2
libgpg-error-l10n	1.58-2
libgpgme45:amd64	2.0.1-2build1
libgpm2:amd64	1.20.7-12build1
libgprofng0:amd64	2.46-3ubuntu2
libgraphite2-3:amd64	1.3.14-11ubuntu1.1
libgssapi-krb5-2:amd64	1.22.1-2ubuntu4.1
libgstreamer1.0-0:amd64	1.28.2-1
libgudev-1.0-0:amd64	1:238-7build1
libharfbuzz0b:amd64	12.3.2-2
libhdf5-310:amd64	1.14.6+repack-2
libhogweed6t64:amd64	3.10.2-1
libhwasan0:amd64	16-20260322-1ubuntu1
libhwloc15:amd64	2.13.0-2
libhwloc-plugins:amd64	2.13.0-2
libibverbs1:amd64	61.0-2ubuntu3
libicu78:amd64	78.2-2ubuntu1
libidn2-0:amd64	2.3.8-4build1
libimagequant0:amd64	4.4.1-1
libimobiledevice-1.0-6:amd64	1.4.0-1build1
libimobiledevice-glue-1.0-0	1.3.2-2build1
libinih1:amd64	61-1ubuntu1
libintl-perl	1.37-1
libintl-xs-perl	1.37-1
libip4tc2:amd64	1.8.11-2ubuntu3
libip6tc2:amd64	1.8.11-2ubuntu3
libisl23:amd64	0.27-1build1
libisns0t64:amd64	0.101-2.1
libitm1:amd64	16-20260322-1ubuntu1
libjansson4:amd64	2.14-2build4
libjbig0:amd64	2.1-6.1ubuntu3
libjcat1:amd64	0.2.5-1build1
libjemalloc2:amd64	5.3.0-4
libjpeg8:amd64	8c-2ubuntu12
libjpeg-turbo8:amd64	2.1.5-4ubuntu4
libjq1:amd64	1.8.1-4ubuntu2
libjs-bootstrap5	5.3.8+dfsg-2
libjs-jquery	3.7.1+dfsg+~3.5.33-1build1
libjs-lunr	2.3.9~dfsg-2
libjs-mathjax	2.7.9+dfsg-1build1
libjson-c5:amd64	0.18+ds-3
libjsoncpp26:amd64	1.9.6-5
libjson-glib-1.0-0:amd64	1.10.8+ds-2
libjson-glib-1.0-common	1.10.8+ds-2
libjs-sphinxdoc	8.2.3-12
libjs-underscore	1.13.8~dfsg+~1.13.0-1
libk5crypto3:amd64	1.22.1-2ubuntu4.1
libkeyutils1:amd64	1.6.3-6ubuntu3
libklibc:amd64	2.0.14-1ubuntu2
libkmod2:amd64	34.2-2ubuntu2
libkrb5-3:amd64	1.22.1-2ubuntu4.1
libkrb5support0:amd64	1.22.1-2ubuntu4.1
libksba8:amd64	1.6.7-2build1
liblapack3:amd64	3.12.1-7ubuntu1
liblastlog2-2:amd64	2.41.3-3ubuntu2
