3cpio	0.14.0-1ubuntu1
login.defs	1:4.17.4-2ubuntu3
logrotate	3.22.0-1build1
logsave	1.47.2-3ubuntu4
lsb-base	11.6build1
lsb-release	12.1-2build1
lshw	02.19.git.2021.06.19.996aaad9c7-2.1ubuntu3
lsof	4.99.4+dfsg-2build2
lto-disabled-list	79
lvm2	2.03.31-2ubuntu3
lxd-agent-loader	0.13ubuntu0
lxd-installer	14ubuntu0
make	4.4.1-3
makedumpfile	1:1.7.7-1
man-db	2.13.1-1build1
manpages	6.17-1
manpages-dev	6.17-1
mawk	1.3.4.20260129-1
mdadm	4.5-5ubuntu1
media-types	14.0.0build1
mkdocs	1.6.1+dfsg1-2
mkdocs-get-deps	0.2.0-2
modemmanager	1.25.95-1ubuntu1
mokutil	0.7.2-2
motd-news-config	14ubuntu6.1
mount	2.41.3-3ubuntu2
msr-tools	1.3+git20220805.7d78c80-1build1
mtr-tiny	0.95-1.1ubuntu2
multipath-tools	0.14.3-2ubuntu1
mysql-common	5.8+1.1.1ubuntu2
nano	8.7.1-1ubuntu0.1
ncurses-base	6.6+20251231-1
ncurses-bin	6.6+20251231-1
ncurses-term	6.6+20251231-1
needrestart	3.11-1ubuntu2
netbase	6.5build1
netcat-openbsd	1.234-1
netplan-generator	1.2-1ubuntu5
netplan.io	1.2-1ubuntu5
net-tools	2.10-2ubuntu1
networkd-dispatcher	2.2.4-1.1ubuntu1
nftables	1.1.6-1
node-popper2	2.11.2-9
ntfs-3g	1:2022.10.3-5ubuntu1.1
numactl	2.0.19-1build1
numba-doc	0.64.0+dfsg-1ubuntu1
nvidia-firmware-595-server-595.71.05	595.71.05-0ubuntu0.26.04.1
nvidia-kernel-common-595	595.71.05-0ubuntu0.26.04.1
nvidia-kernel-common-595-server	595.71.05-0ubuntu0.26.04.1
nvidia-utils-595-server	595.71.05-0ubuntu0.26.04.1
nvtop	3.2.0-2
ocl-icd-libopencl1:amd64	2.3.4-1
open-iscsi	2.1.11-3ubuntu3
openssh-client	1:10.2p1-2ubuntu3.5
openssh-server	1:10.2p1-2ubuntu3.5
openssh-sftp-server	1:10.2p1-2ubuntu3.5
openssl	3.5.5-1ubuntu3.3
openssl-provider-legacy	3.5.5-1ubuntu3.3
open-vm-tools	2:13.0.10-1ubuntu1
os-prober	1.84ubuntu1
overlayroot	0.58ubuntu
packagekit	1.3.4-3ubuntu1.1
parted	3.6-6
passwd	1:4.17.4-2ubuntu3
patch	2.8-2build1
pci.ids	0.0~2026.02.12-1
pciutils	1:3.14.0-1build2
perl	5.40.1-7ubuntu0.1
perl-base	5.40.1-7ubuntu0.1
perl-modules-5.40	5.40.1-7ubuntu0.1
pinentry-curses	1.3.2-3ubuntu1
pipx	1.8.0-1
plymouth	24.004.60+git20250831.4a3c171d-0ubuntu8
plymouth-theme-ubuntu-text	24.004.60+git20250831.4a3c171d-0ubuntu8
pnp.ids	0.394-1build1
polkitd	127-2ubuntu1
pollinate	4.33-4ubuntu6
powermgmt-base	1.38ubuntu2
procps	2:4.0.4-9ubuntu1
psmisc	23.7-2ubuntu2
publicsuffix	20260129.1928-1
python3.14	3.14.4-1ubuntu0.1
python3.14-dev	3.14.4-1ubuntu0.1
python3.14-doc	3.14.4-1ubuntu0.1
python3.14-examples	3.14.4-1ubuntu0.1
python3.14-full	3.14.4-1ubuntu0.1
python3.14-gdbm	3.14.4-1ubuntu0.1
python3.14-minimal	3.14.4-1ubuntu0.1
python3.14-tk	3.14.4-1ubuntu0.1
python3.14-venv	3.14.4-1ubuntu0.1
python3	3.14.3-0ubuntu2
python3-anyio	4.11.0-3
python3-apport	2.34.1-0ubuntu0.1
python3-apt	3.1.0ubuntu1
python3-argcomplete	3.6.3-1
python3-attr	25.4.0-1build1
python3-autocommand	2.2.2-4
python3-automat	25.4.16-1build1
python3-babel	2.17.0-2
python3-bcrypt	5.0.0-3build1
python3-blinker	1.9.0-2build1
python3-blosc	1.11.2+ds1-3build1
python3-boto3	1.40.72-1build1
python3-botocore	1.40.72+repack-1build1
python3-bottleneck	1.4.2+ds1-2build3
python3-bpfcc	0.35.0+ds-1ubuntu2
python3-brotli	1.2.0-3build1
python3-bs4	4.14.3-2build1
python3-certifi	2026.1.4+ds-1
python3-cffi-backend:amd64	2.0.0-3build1
python3-chardet	5.2.0+dfsg-2build1
python3-click	8.2.0+0.really.8.1.8-1build1
python3-cloudpickle	3.1.2-1
python3-commandnotfound	23.04.0build1
python3-configobj	5.0.9-1build1
python3-constantly	23.10.4-2build1
python3-contourpy	1.3.3-1build1
python3-cpuinfo	9.0.0+git20221119-3
python3-cryptography	46.0.5-1ubuntu2
python3-cssselect	1.4.0-1
python3-cycler	0.12.1-2
python3-dask	2024.12.1+dfsg-2build1
python3-dateutil	2.9.0-4build1
python3-dbus	1.4.0-1build2
python3-debconf	1.5.92
python3-debian	1.0.1ubuntu2
python3-decorator	5.2.1-2
python3-defusedxml	0.7.1-3build1
python3-dev	3.14.3-0ubuntu2
python3-distributed	2024.12.1+ds-1
python3-distro	1.9.0-1build1
python3-distro-info	1.15
python3-distupgrade	1:26.04.22
python3-doc	3.14.3-0ubuntu2
python3-dropbox	12.0.2-2
python3-et-xmlfile	2.0.0-2
python3-examples	3.14.3-0ubuntu2
python3-filelock	3.20.3-1
python3-fonttools	4.61.1-3build1
python3-fsspec	2025.12.0-1
python3-full	3.14.3-0ubuntu2
python3-gdbm	3.14.3-0ubuntu2
python3-gi	3.56.2-1
python3-h11	0.14.0-1.1
python3-hamcrest	2.1.0-3
python3-html5lib	1.2-3
python3-httpcore	1.0.9-1
python3-httplib2	0.22.0-1ubuntu0.1
python3-httpx	0.28.1-1build1
python3-huggingface-hub	1.2.2-2
python3-hyperlink	21.0.0-6build1
python3-idna	3.11-1ubuntu0.1
python3-incremental	24.7.2-4
python3-inflect	7.5.0-1build1
python3-iniconfig	2.1.0-2
python3-jaraco.context	6.0.1-2
python3-jaraco.functools	4.1.0-1build1
python3-jaraco.text	4.0.0-1build1
python3-jinja2	3.1.6-1build1
python3-jmespath	1.0.1-1build1
python3-joblib	1.5.2-1
python3-jsonpatch	1.32-6
python3-json-pointer	2.4-4
python3-jsonschema	4.19.2-6ubuntu2
python3-jsonschema-specifications	2023.12.1-4
python3-jwt	2.10.1-4ubuntu1
python3-kiwisolver	1.4.10~rc0-1build1
python3-launchpadlib	2.1.0-1build1
python3-lazr.restfulclient	0.14.6-3build1
python3-lazr.uri	1.0.6-7build1
python3-legacy-cgi	2.6.4-2
python3-libarchive-c	5.1-1ubuntu1
python3-linkify-it	2.0.3-1ubuntu3
python3-livereload	2.7.1-0.1
python3-llvmlite	0.46.0-0.2
python3-locket	1.0.0-2build1
python3-lunr	0.8.0-1
python3-lxml:amd64	6.0.2-1build1
python3-lz4	4.4.5+dfsg-1build1
python3-magic	2:0.4.27-3build1
python3-markdown	3.10.2-1
python3-markdown-it	3.0.0-3build1
python3-markupsafe	3.0.3-1build1
python3-matplotlib	3.10.7+dfsg1-2build1
python3-mdurl	0.1.2-1build1
python3-mergedeep	1.3.4-4build1
python3-minimal	3.14.3-0ubuntu2
python3-more-itertools	10.8.0-1build1
python3-mpmath	1.3.0-2
python3-msgpack	1.1.2-2build1
python3-nacl	1.5.0-8
python3-netaddr	1.3.0-1build1
python3-netifaces:amd64	0.11.0-2build7
python3-netplan	1.2-1ubuntu5
python3-nltk	3.9.2-1
python3-numba	0.64.0+dfsg-1ubuntu1
python3-numexpr	2.14.1-1build1
python3-numpy	1:2.3.5+ds-3ubuntu1
python3-numpy-dev:amd64	1:2.3.5+ds-3ubuntu1
python3-oauthlib	3.3.1-1build1
python3-odf	1.4.2-4
python3-olefile	0.47-1build1
python3-openpyxl	3.1.5+dfsg-3
python3-openssl	25.3.0-1ubuntu1
python3-packaging	26.0-1
python3-pandas	2.3.3+dfsg-3ubuntu1
python3-pandas-lib:amd64	2.3.3+dfsg-3ubuntu1
python3-paramiko	4.0.0-1ubuntu2
python3-partd	1.4.2-1build1
python3-passlib	1.9.3-1ubuntu1
python3-pathspec	1.0.4-1
python3-pexpect	4.9-4
python3-pil:amd64	12.1.1-2ubuntu1.2
python3-pil.imagetk:amd64	12.1.1-2ubuntu1.2
python3-pip	25.1.1+dfsg-1ubuntu2
python3-pip-whl	25.1.1+dfsg-1ubuntu2
python3-pkg-resources	78.1.1-0.1build1
python3-platformdirs	4.9.4-1
python3-pluggy	1.6.0-2
python3-ply	3.11-10
python3-pooch	1.9.0-1
python3-problem-report	2.34.1-0ubuntu0.1
python3-psutil	7.1.0-1ubuntu1
python3-ptyprocess	0.7.0-6build1
python3-pyasn1	0.6.3-1
python3-pyasn1-modules	0.4.1-2build1
python3-pyasyncore	1.0.2-3build1
python3-pygit2	1.19.1-1build1
python3-pygments	2.19.2+dfsg-1
python3-pyinotify	0.9.6-5build1
python3-pyparsing	3.3.2-2
python3-pytest	9.0.2-4
python3-pytz	2025.2-5
python3-pyyaml-env-tag	1.1-1
python3-referencing	0.36.2-1ubuntu2
python3-regex	0.1.20250918-1build1
python3-requests	2.32.5+dfsg-1ubuntu1
python3-rich	13.9.4-1.2
python3-rpds-py	0.27.1-2ubuntu3
python3-s3transfer	0.14.0-1build1
python3-scipy	1.16.3-4build1
python3-serial	3.5-2build1
python3-service-identity	24.2.0-1build1
python3-setuptools	78.1.1-0.1build1
python3-setuptools-whl	78.1.1-0.1build1
python3-shellingham	1.5.4-1build1
python3-six	1.17.0-2build1
python3-sniffio	1.3.1-1
python3-software-properties	0.120
python3-sortedcontainers	2.4.0-2build1
python3-soupsieve	2.8.3-1
python3-stone	3.3.9-1
python3-sympy	1.14.0-2
python3-systemd	235-1build9
python3-tables	3.10.2-3build3
python3-tables-lib	3.10.2-3build3
python3-tblib	3.2.2-1
python3-tk	3.14.3-0ubuntu2
python3-toolz	1.1.0-1
python3-tornado	6.5.4-0.1ubuntu0.1
python3-tqdm	4.67.3-1build1
python3-twisted	25.5.0-5ubuntu0.1
python3-typeguard	4.4.4-2
python3-typer	0.19.2-1
python3-typing-extensions	4.15.0-2
python3-uc-micro	1.0.3-1build1
python3-ufolib2	0.18.1+dfsg1-1
python3-unicodedata2	16.0.0+ds-1build2
python3-update-manager	1:26.04.5
python3-urllib3	2.6.3-1ubuntu1.1
python3-userpath	1.9.2-2
python3-venv	3.14.3-0ubuntu2
python3-wadllib	2.0.0-3
python3-watchdog	6.0.0-4
python3-webencodings	0.5.1-5build1
python3-wheel	0.46.3-2
python3-xkit	0.5.0ubuntu8
python3-yaml	6.0.3-1build1
python3-zict	3.0.0-5
python3-zipp	3.23.0-1build1
python3-zmq	27.1.0-1build1
python3-zope.interface	8.2-1build1
python3-zopfli	0.4.1-1
python-apt-common	3.1.0ubuntu1
python-babel-localedata	2.17.0-2
python-matplotlib-data	3.10.7+dfsg1-2build1
python-odf-doc	1.4.2-4
python-odf-tools	1.4.2-4
python-tables-data	3.10.2-3build3
readline-common	8.3-4
rpcsvc-proto	1.4.3-1build1
rsync	3.4.1+ds1-7ubuntu0.3
rsyslog	8.2512.0-1ubuntu4.1
rust-coreutils	0.8.0-0ubuntu3
sbsigntool	0.9.4-3.1ubuntu9
screen	4.9.1-3ubuntu2
secureboot-db	1.9build2
sed	4.9-2ubuntu1
sensible-utils	0.0.26build1
sg3-utils	1.48-3ubuntu3.1
sg3-utils-udev	1.48-3ubuntu3.1
sgml-base	1.31+nmu1build1
shared-mime-info	2.4-5build3
snapd	2.76+ubuntu26.04.3
software-properties-common	0.120
sos	4.10.2-1
sphinx-rtd-theme-common	3.1.0+dfsg-1
sqlite3	3.46.1-9ubuntu0.2
squashfs-tools	1:4.7.5-1
ssh-import-id	5.11-0ubuntu4
strace	6.19+ds-0ubuntu5
sudo	1.9.17p2-1ubuntu3
sudo-common	1.2ubuntu
sudo-rs	0.2.13-0ubuntu1
sysbench	1.0.20+ds-7build2
sysstat	12.7.7-0ubuntu2
systemd	259.5-0ubuntu3.4
systemd-cryptsetup	259.5-0ubuntu3.4
systemd-hwe-hwdb	259.5.3ubuntu
systemd-resolved	259.5-0ubuntu3.4
systemd-sysv	259.5-0ubuntu3.4
sysvinit-utils	3.15-5ubuntu1
tar	1.35+dfsg-4ubuntu0.4
tcl	8.6.16build1
tcl8.6	8.6.17+dfsg-1build1
tcpdump	4.99.6-1
telnet	0.17+2.7-2ubuntu1.1
thermald	2.5.11-0ubuntu1
thin-provisioning-tools	1.1.0-4ubuntu2
time	1.9-0.4
tmux	3.6a-2ubuntu0.1
tnftp	20260211-1
tpm-udev	4.1.3-6
trace-cmd	3.3.3-1ubuntu2
tree	2.3.1-1
tzdata	2026c-0ubuntu0.26.04.1
ubuntu-drivers-common	1:0.10.9
ubuntu-kernel-accessories	1.570.2
ubuntu-keyring	2023.11.28.1build1
ubuntu-minimal	1.570.2
ubuntu-pro-client	37.2ubuntu0.1
ubuntu-pro-client-l10n	37.2ubuntu0.1
ubuntu-release-upgrader-core	1:26.04.22
ubuntu-server	1.570.2
ubuntu-server-minimal	1.570.2
ubuntu-standard	1.570.2
ucf	3.0052ubuntu1
udev	259.5-0ubuntu3.4
udisks2	2.10.91-1ubuntu2
ufw	0.36.2-9build1
unattended-upgrades	2.12ubuntu9
unicode-data	16.0.0-1build1
unminimize	0.5build1
update-manager-core	1:26.04.5
update-notifier-common	3.207.2
upower	1.91.1-1
usb.ids	2025.12.13-1
usb-modeswitch	2.6.2-1ubuntu1
usb-modeswitch-data	20191128-7build1
usbmuxd	1.1.1-7
usbutils	1:019-1
util-linux	2.41.3-3ubuntu2
util-linux-extra	2.41.3-3ubuntu2
uuid-runtime	2.41.3-3ubuntu2
vim	2:9.1.2141-1ubuntu4.8
vim-common	2:9.1.2141-1ubuntu4.8
vim-runtime	2:9.1.2141-1ubuntu4.8
vim-tiny	2:9.1.2141-1ubuntu4.8
wget	1.25.0-2ubuntu4.4
whiptail	0.52.25-1ubuntu3
wireless-regdb	2026.02.04-0ubuntu1
x11-common	1:7.7+26ubuntu1
xauth	1:1.1.2-1.1build1
xdg-user-dirs	0.19-1
xfsprogs	6.18.0-3
xkb-data	2.46-2
xml-core	0.19build1
xxd	2:9.1.2141-1ubuntu4.8
xz-utils	5.8.3-1
zerofree	1.1.1-1build6
zlib1g:amd64	1:1.3.dfsg+really1.3.1-1ubuntu3
zlib1g-dev:amd64	1:1.3.dfsg+really1.3.1-1ubuntu3
zstd	1.5.7+dfsg-3
